"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2","rw-entity-meta__tag-value__list__item"
"South Sudan: Floods 2021-2022","https://reliefweb.int/disaster/fl-2021-000108-ssd","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","South Sudan","https://reliefweb.int/country/ssd",""
"Somalia: Floods - May 2021","https://reliefweb.int/disaster/fl-2021-000051-som","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Somalia","https://reliefweb.int/country/som","1 more"
"Rwanda: Floods and Windstorm - Apr 2021","https://reliefweb.int/disaster/fl-2021-000049-rwa","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Rwanda","https://reliefweb.int/country/rwa","2 more"
"Tropical Storm Jobo - Apr 2021","https://reliefweb.int/disaster/tc-2021-000036-tza","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected countries","Tanzania","https://reliefweb.int/country/tza","2 more"
"Burundi: Floods - Apr 2021","https://reliefweb.int/disaster/fl-2021-000039-bdi","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Burundi","https://reliefweb.int/country/bdi",""
"Kenya: Floods - Apr 2021","https://reliefweb.int/disaster/fl-2021-000038-ken","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Kenya","https://reliefweb.int/country/ken",""
"Kenya: Dengue Outbreak - May 2021","https://reliefweb.int/disaster/ep-2021-000047-ken","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Kenya","https://reliefweb.int/country/ken",""
"Tropical Cyclone Gati - Nov 2020","https://reliefweb.int/disaster/tc-2020-000232-som","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected countries","Somalia","https://reliefweb.int/country/som","1 more"
"Somalia: Flash Floods - Oct 2020","https://reliefweb.int/disaster/ff-2020-000221-som","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Somalia","https://reliefweb.int/country/som","1 more"
"Sudan: Polio Outbreak - Aug 2020","https://reliefweb.int/disaster/ep-2020-000129-sdn","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"South Sudan: Floods - Aug 2020","https://reliefweb.int/disaster/fl-2020-000193-ssd","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","South Sudan","https://reliefweb.int/country/ssd",""
"Sudan: Floods - Jul 2020","https://reliefweb.int/disaster/fl-2020-000176-sdn","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"Uganda: Floods and Landslides - May 2020","https://reliefweb.int/disaster/fl-2020-000132-uga","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Uganda","https://reliefweb.int/country/uga","2 more"
"Tanzania: Floods - Apr 2020","https://reliefweb.int/disaster/fl-2020-000125-tza","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Tanzania","https://reliefweb.int/country/tza","2 more"
"Ethiopia: Floods - Apr 2020","https://reliefweb.int/disaster/fl-2020-000126-eth","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Ethiopia","https://reliefweb.int/country/eth","1 more"
"Somalia: Flash Floods - Apr 2020","https://reliefweb.int/disaster/ff-2020-000055-som","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Somalia","https://reliefweb.int/country/som","1 more"
"Kenya: Floods and Landslides - Apr 2020","https://reliefweb.int/disaster/fl-2020-000128-ken","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Kenya","https://reliefweb.int/country/ken","2 more"
"Burundi: Floods and Landslides - Apr 2020","https://reliefweb.int/disaster/fl-2020-000054-bdi","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Burundi","https://reliefweb.int/country/bdi","1 more"
"Tanzania: Floods - Jan 2020","https://reliefweb.int/disaster/fl-2020-000029-tza","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Tanzania","https://reliefweb.int/country/tza","1 more"
"Rwanda: Floods - Dec 2019","https://reliefweb.int/disaster/fl-2019-000170-rwa","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Rwanda","https://reliefweb.int/country/rwa",""
