DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1999-9388-DJI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,DJI,Djibouti,Sub-Saharan Africa,Africa,"Ali Sabieh, Dikhil, Djibouti, Obock, Tadjourah provinces",,,Yes,No,No,1556,,Km2,,,,2001,6,,2001,,,,,100000,,100000,,,,,,,58.1114743743821,"[{""adm1_code"":1093,""adm1_name"":""Ali Sabieh""},{""adm1_code"":1094,""adm1_name"":""Dikhil""},{""adm1_code"":1095,""adm1_name"":""Djibouti""},{""adm1_code"":1096,""adm1_name"":""Obock""},{""adm1_code"":1097,""adm1_name"":""Tadjourah""}]",2006-03-01,2023-09-25
1999-9388-SDN,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,SDN,Sudan,Northern Africa,Africa,"Northern Darfur, Northern Kordofan, Red Sea provinces",,Food shortage|Water shortage,No,No,No,,,Km2,,,,2000,1,,2001,,,,,2000000,,2000000,,,,,,,56.5142905592776,"[{""adm1_code"":2757,""adm1_name"":""Northern Darfur""},{""adm1_code"":40772,""adm1_name"":""Red Sea""},{""adm1_code"":68784,""adm1_name"":""Northern Kordofan""}]",2006-03-08,2023-09-25
1999-9388-SOM,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,SOM,Somalia,Sub-Saharan Africa,Africa,"Ceel Barde, Rab Dhuure, Tayeeglow, Xudur districts (Bakool province), Garbahaarey, Baardheere districts (Gedo province), Bay, Hiraan provinces ",,Food shortage,No,No,No,,,Km2,,,,2000,1,,2001,,,21,,1200000,,1200000,,,,,,,56.5142905592776,"[{""adm1_code"":2691,""adm1_name"":""Bay""},{""adm1_code"":2695,""adm1_name"":""Hiraan""},{""adm2_code"":25657,""adm2_name"":""Ceel Barde""},{""adm2_code"":25658,""adm2_name"":""Rab Dhuure""},{""adm2_code"":25659,""adm2_name"":""Tayeeglow""},{""adm2_code"":25661,""adm2_name"":""Xudur""},{""adm2_code"":25678,""adm2_name"":""Baardheere""},{""adm2_code"":25682,""adm2_name"":""Garbahaarey""}]",2006-03-08,2023-09-25
2000-0044-ETH,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Houses,ETH,Ethiopia,Sub-Saharan Africa,Africa,Addis Abeba,,,No,No,No,,,,,,,2000,2,7,2000,2,7,,,,550,550,,,,,2200,3893,56.5142905592776,,2003-07-01,2023-09-25
2000-0055-ETH,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Deghabour, Feik",,,No,No,No,,,Vaccinated,,,,2000,1,,2000,1,,27,,100,,100,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0056-TZA,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Mtwara region,,,No,No,No,,,,,,,2000,1,8,2000,1,8,16,,254,,254,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0058-SOM,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,SOM,Somalia,Sub-Saharan Africa,Africa,"Mogadishu, Bay, Lower Juba, Lower Shabelle and Mudug",,,No,No,No,,,,,,,2000,1,1,2000,4,21,230,,2232,,2232,,,,,,,56.5142905592776,,2005-06-16,2023-09-25
2000-0061-KEN,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,KEN,Kenya,Sub-Saharan Africa,Africa,"Takaba Division, Mandera District",,,No,No,No,,,Vaccinated,,,,2000,1,,2000,1,,10,,40,,40,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0062-KEN,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,KEN,Kenya,Sub-Saharan Africa,Africa,Nakuru District,,,No,No,No,,,,,,,2000,1,6,2000,1,6,3,,189,,189,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0064-UGA,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,UGA,Uganda,Sub-Saharan Africa,Africa,"Lac Albert, port de Panyamuru",,,No,No,No,,,,,,,2000,2,11,2000,2,11,22,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0073-TZA,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Mburahati camp (Kinondoni district, Dar Es Salaam)",,,No,No,No,,,Vaccinated,,,,2000,1,1,2000,1,1,4,,114,,114,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0075-TZA,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Pembar, Zanzibar Isl.",,,No,No,No,,,Vaccinated,,,,2000,2,11,2000,2,11,8,,200,,200,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0087-SOM,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,Acute watery diarrhoeal syndrome,SOM,Somalia,Sub-Saharan Africa,Africa,"Janale, Golweyna (Shabelle Region)",,,No,No,No,,,Vaccinated,,,,2000,2,,2000,2,,54,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0100-SDN,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,,SDN,Sudan,Northern Africa,Africa,"Juba (Bahr el Jebel State), Upper Nile, Khartoum, Sennar, White Nile, Gezira, South Kordofan, Gedaref states",,,No,No,No,,,,,,,2000,1,1,2000,3,31,186,,2363,,2363,,,,,,,56.5142905592776,,2005-06-16,2023-09-25
2000-0104-ETH,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Bale, Borena districts (Oromia province) Wondo genet city (Sidama district, SNNPR province)",,,No,No,No,,970,Km2,,,,2000,2,,2000,2,,,5,,,5,,,,,,,56.5142905592776,"[{""adm2_code"":40838,""adm2_name"":""Sidama""},{""adm2_code"":47688,""adm2_name"":""Borena""},{""adm2_code"":149288,""adm2_name"":""Bale""}]",2003-07-01,2023-09-25
2000-0132-TZA,No,tec-mis-exp-exp,Technological,Miscellaneous accident,Explosion (Miscellaneous),Explosion (Miscellaneous),,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Isongole,,,No,No,No,,,,,,,2000,3,20,2000,3,20,33,40,,,40,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0134-ETH,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Kobo district (Amhara Region), Alamata District (Tigray Region), Gambella Region",,,No,No,No,,,,,,,2000,1,1,2000,3,31,14,,149,,149,,,,,,,56.5142905592776,,2005-06-16,2023-09-25
2000-0135-TZA,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Pemba, Unguja, Zanzibar Isl.",,,No,No,No,,,Vaccinated,,,,2000,1,1,2000,1,1,9,,330,,330,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0143-ETH,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,Amhara (Gondar province),,,No,No,No,,,,,,,2000,3,23,2000,3,23,10,20,,,20,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0144-UGA,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Case,UGA,Uganda,Sub-Saharan Africa,Africa,Gulu region,,,No,No,No,,,,,,,2000,3,27,2000,3,27,,,,4000,4000,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0157-KEN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,KEN,Kenya,Sub-Saharan Africa,Africa,Kapkatunga (near Kericho),,,No,No,No,,,,,,,2000,3,29,2000,3,29,101,61,,,61,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0172-KEN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,KEN,Kenya,Sub-Saharan Africa,Africa,Near Keumbu market (Kissi district),,,No,No,No,,,,,,,2000,4,1,2000,4,1,10,50,,,50,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0197-KEN,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,KEN,Kenya,Sub-Saharan Africa,Africa,"Nyando district, Nyanza district",,,No,No,No,,,,,,,2000,2,20,2000,2,20,16,,229,,229,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0207-KEN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,KEN,Kenya,Sub-Saharan Africa,Africa,Mtito Andei,,,No,No,No,,,,,,,2000,4,20,2000,4,20,46,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0221-SOM,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,Acute watery diarrhoeal syndrome,SOM,Somalia,Sub-Saharan Africa,Africa,Gedo region,,,No,No,No,,,Vaccinated,,,,2000,4,,2000,4,,390,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0239-BDI,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,,BDI,Burundi,Sub-Saharan Africa,Africa,"Bujumbura, Bubanza, Bururi, Cibitoki, Makamba, Mwara",,,No,No,No,,,Vaccinated,,,,2000,9,,2000,9,,,,8000,,8000,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0253-ETH,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,ETH,Ethiopia,Sub-Saharan Africa,Africa,Whama Region (Afar region),,,No,No,No,,,Vaccinated,,,,2000,5,,2000,5,,51,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0259-SOM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,SOM,Somalia,Sub-Saharan Africa,Africa,"Jilib, Bu'aale districts (Juba Dhexe province), Jamaame district (Juba Hoose province), Jowhar, Balcad districts (Shabelle Dhexe province), Hiraan, Shabelle Hoose provinces",Heavy rain,,No,No,No,,46000,Km2,,,"Juba, Lower Shabelle",2000,5,1,2000,5,1,,,3500,,3500,,,,,,,56.5142905592776,"[{""adm1_code"":2695,""adm1_name"":""Hiraan""},{""adm1_code"":2697,""adm1_name"":""Shabelle Hoose""},{""adm2_code"":25689,""adm2_name"":""Jamaame""},{""adm2_code"":25698,""adm2_name"":""Bu'aale""},{""adm2_code"":25699,""adm2_name"":""Jilib""},{""adm2_code"":25702,""adm2_name"":""Balcad""},{""adm2_code"":25704,""adm2_name"":""Jowhar""}]",2004-10-26,2023-09-25
2000-0288-TZA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Luanda,,,No,No,No,,,,,,,2000,6,2,2000,6,2,10,38,,,38,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0292-ETH,No,tec-mis-mis-mis,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),,,ETH,Ethiopia,Sub-Saharan Africa,Africa,Addis Abeba,,,No,No,No,,,,,,,2000,6,5,2000,6,5,14,67,,,67,,,,,,,56.5142905592776,,2005-02-03,2023-09-25
2000-0315-UGA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,UGA,Uganda,Sub-Saharan Africa,Africa,Kamengo,,,No,No,No,,,,,,,2000,6,10,2000,6,10,20,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0366-UGA,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,UGA,Uganda,Sub-Saharan Africa,Africa,Bundibugyo district,,,No,No,No,,,,,,,2000,2,27,2000,2,27,22,,281,,281,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0393-BDI,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Typhoid fever,BDI,Burundi,Sub-Saharan Africa,Africa,Bururi province,,,No,No,No,,,,,,,2000,5,,2000,6,,,100,,,100,,,,,,,56.5142905592776,,2003-11-25,2023-09-25
2000-0399-ETH,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Nazareth city (East Shewa district, Oromia province), Region 14 district (Addis Ababa province)",,,No,No,No,,,Km2,,,,2000,6,29,2000,6,29,60,,,,,,,,,,,56.5142905592776,"[{""adm2_code"":149277,""adm2_name"":""Region 14""},{""adm2_code"":149289,""adm2_name"":""East Shewa""}]",2003-07-01,2023-09-25
2000-0432-DJI,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,DJI,Djibouti,Sub-Saharan Africa,Africa,"Djibouti, Ali-Sabieh districts",,,No,No,No,,,,,,,2000,6,,2000,6,,4,,419,,419,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0489-ETH,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Meningococcal disease,ETH,Ethiopia,Sub-Saharan Africa,Africa,Addis Ababa,,,No,No,No,,,,,,,2000,3,,2000,8,17,19,,855,,855,,,,,,,56.5142905592776,,2005-06-17,2023-09-25
2000-0490-SOM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,SOM,Somalia,Sub-Saharan Africa,Africa,"Mogadishu city (Banadir district, Banadir province)",,,No,No,No,,,Km2,,,,2000,7,10,2000,7,10,,,,220000,220000,,,,,,,56.5142905592776,"[{""adm2_code"":25672,""adm2_name"":""Banadir""}]",2003-07-01,2023-09-25
2000-0492-UGA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,UGA,Uganda,Sub-Saharan Africa,Africa,Between Kampala and Masaka,,,No,No,No,,,,,,,2000,8,14,2000,8,14,22,10,,,10,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0497-ETH,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Dubti area (Zone 1 district, Afar province)",Heavy rain,,No,No,No,,57500,Km2,,,Awash river,2000,8,10,2000,8,21,9,,30000,,30000,,,,,,,56.5142905592776,"[{""adm2_code"":40788,""adm2_name"":""Zone 1""}]",2004-10-21,2023-09-25
2000-0506-KEN,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Visceral leishmaniasis (Kala-Azar),KEN,Kenya,Sub-Saharan Africa,Africa,"Wajir, Mandera, Garissa districts",,,No,No,No,,,Vaccinated,,,,2000,6,,2000,6,,7,,221,,221,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0508-KEN,No,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,KEN,Kenya,Sub-Saharan Africa,Africa,Near Maseno/Lela,,,No,No,No,,,,,,,2000,8,15,2000,8,15,20,36,,,36,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0520-RWA,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Meningococcal disease,RWA,Rwanda,Sub-Saharan Africa,Africa,Kabgayi district (Gitarana prefecture),,,No,No,No,,,,,,,2000,7,,2000,8,22,10,,164,,164,,,,,,,56.5142905592776,,2005-06-17,2023-09-25
2000-0524-ETH,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Offa area (Wolayita district, SNNPR province)",,,No,No,No,,,,,,,2000,7,4,2000,7,4,4,,,165,165,,,,,,,56.5142905592776,"[{""adm2_code"":47706,""adm2_name"":""Wolayita""}]",2003-07-01,2023-09-25
2000-0525-KEN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,KEN,Kenya,Sub-Saharan Africa,Africa,,,,No,No,No,,,,,,,2000,8,24,2000,8,24,40,19,,,19,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0526-SDN,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Ferry,SDN,Sudan,Northern Africa,Africa,Sinja (Sinar state),,,No,No,No,,,,,,,2000,8,23,2000,8,23,50,17,,,17,,,,,,,56.5142905592776,,2005-04-24,2023-09-25
2000-0560-KEN,No,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,KEN,Kenya,Sub-Saharan Africa,Africa,Athi River town,,,No,No,No,,,,,,,2000,8,20,2000,8,20,25,30,,,30,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0561-RWA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,RWA,Rwanda,Sub-Saharan Africa,Africa,Gishoma (Cyangugu prefecture),,,No,No,No,,,,,,,2000,9,5,2000,9,5,39,81,,,81,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0565-KEN,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,KEN,Kenya,Sub-Saharan Africa,Africa,Nyakach (Nyando district),,,No,No,No,,,Vaccinated,,,,2000,8,,2000,8,,14,,42,,42,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0621-UGA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,UGA,Uganda,Sub-Saharan Africa,Africa,Bukonjo district (Kasese province),,,No,No,No,,,Kph,,,,2000,9,21,2000,9,21,,,,10000,10000,,,,,,,56.5142905592776,"[{""adm2_code"":42206,""adm2_name"":""Bukonjo""}]",2003-07-01,2023-09-25
2000-0624-UGA,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,Acute diarroheal syndrome,UGA,Uganda,Sub-Saharan Africa,Africa,Kabutabwe Bubandi (Bundibugyo district),,,No,No,No,,,Vaccinated,,,,2000,9,,2000,9,,13,,19,,19,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0651-TZA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Mwanza,,,No,No,No,,,,,,,2000,10,5,2000,10,5,18,39,,,39,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0653-TZA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a14k,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Isale, Kipili, Kirando, Namanyere, Wampelembe, Kate areas (Nkasi district, Rukwa province)",,,No,No,No,,6.5,Richter,-7.977,30.709,,2000,10,2,2000,10,2,1,6,750,35,791,,,,,,,56.5142905592776,"[{""adm2_code"":48474,""adm2_name"":""Nkasi""}]",2003-09-08,2023-09-25
2000-0654-KEN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,KEN,Kenya,Sub-Saharan Africa,Africa,Limuru region (near Nairobi),,,No,No,No,,,,,,,2000,10,7,2000,10,7,12,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0660-UGA,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Ebola haemorrhagic fever,UGA,Uganda,Sub-Saharan Africa,Africa,"Gulu, Mbarara, Masindi districts",,,Yes,No,No,,,Vaccinated,,,,2000,8,8,2001,2,28,224,,423,,423,,,,,,,56.5142905592776,,2012-08-03,2023-09-25
2000-0734-UGA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,UGA,Uganda,Sub-Saharan Africa,Africa,"Parombo village (Padyere district, Nebbi province)",,,No,No,No,,,Kph,,,,2000,11,6,2000,11,6,,5,,,5,,,,,,,56.5142905592776,"[{""adm2_code"":28516,""adm2_name"":""Padyere""}]",2003-07-01,2023-09-25
2000-0751-KEN,No,tec-ind-poi-poi,Technological,Industrial accident,Poisoning,Poisoning,,Alcool frelaté,KEN,Kenya,Sub-Saharan Africa,Africa,Nairobi,,,No,No,No,,,m3,,,,2000,11,15,2000,11,15,100,400,,,400,,,,,,,56.5142905592776,,2005-02-03,2023-09-25
2000-0757-SOM,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,SOM,Somalia,Sub-Saharan Africa,Africa,"Boroma, Adwal region, Somaliland",,,No,No,No,,,,,,,2000,10,14,2000,11,15,14,,258,,258,,,,,,,56.5142905592776,,2005-06-17,2023-09-25
2000-0778-SOM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,SOM,Somalia,Sub-Saharan Africa,Africa,"Juba Hoose, Juba Dhexe provinces",Heavy rain,,No,No,No,,51400,Km2,,,Jubba river,2000,11,20,2000,11,20,,,150000,,150000,,,,,,,56.5142905592776,"[{""adm1_code"":2696,""adm1_name"":""Juba Hoose""},{""adm1_code"":2698,""adm1_name"":""Juba Dhexe""}]",2004-10-18,2023-09-25
2000-0790-TZA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Mwanza province,Heavy rains,,No,No,No,,18960,Km2,,,Mirongo,2000,12,1,2000,12,31,36,17,,1800,1817,,,,,,,56.5142905592776,"[{""adm1_code"":115006,""adm1_name"":""Mwanza""}]",2004-10-18,2023-09-25
2000-0823-BDI,No,nat-bio-epi-par,Natural,Biological,Epidemic,Parasitic disease,,,BDI,Burundi,Sub-Saharan Africa,Africa,"Mwaro, Gitega, Karuzi, Ngozi, Cibitoke provinces",,,No,No,No,,,Vaccinated,,,,2000,10,,2000,10,,308,,722591,,722591,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0833-UGA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,UGA,Uganda,Sub-Saharan Africa,Africa,Karuma (Gulu region),,,No,No,No,,,,,,,2000,12,28,2000,12,28,30,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0835-BDI,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BDI,Burundi,Sub-Saharan Africa,Africa,"Bujumbura Rural, Bujumbura Mairie provinces",,,No,No,No,,,Km2,,,,2000,12,27,2000,12,27,,,,500,500,,,,,,,56.5142905592776,"[{""adm1_code"":40543,""adm1_name"":""Bujumbura Mairie""},{""adm1_code"":40544,""adm1_name"":""Bujumbura Rural""}]",2003-07-01,2023-09-25
2000-0879-ETH,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Meningococcal disease,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Amhara, Gambella, Somali, Tigray, Southern, Oromia, Diredawa, Benshangul, Harari regions",,,Yes,No,No,,,,,,,2000,11,,2000,11,,311,,5929,,5929,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0908-UGA,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,UGA,Uganda,Sub-Saharan Africa,Africa,Lake Victoria,,,No,No,No,,,,,,,2000,3,6,2000,3,6,45,,,,,,,,,,,56.5142905592776,,2005-04-24,2023-09-25
2000-0915-UGA,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,UGA,Uganda,Sub-Saharan Africa,Africa,Lake Albert,,,No,No,No,,,,,,,2000,4,9,2000,4,9,41,11,,,11,,,,,,,56.5142905592776,,2005-04-24,2023-09-25
2001-0001-KEN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,KEN,Kenya,Sub-Saharan Africa,Africa,Murang'a district,,,No,No,No,,,,,,,2001,1,4,2001,1,4,17,7,,,7,,,,,,,58.1114743743821,,2003-07-01,2023-09-25
2001-0005-TZA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009s0v,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Rungwe district (Mbeya province),,,No,No,No,,4.3,Richter,-9.278,33.766,,2001,1,5,2001,1,5,,,,700,700,,,,,,,58.1114743743821,"[{""adm2_code"":48442,""adm2_name"":""Rungwe""}]",2011-04-07,2023-09-25
2001-0007-TZA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Ibungu (Mbeya region),,,No,No,No,,,,,,,2001,1,5,2001,1,5,10,3,,,3,,,,,,,58.1114743743821,,2003-07-01,2023-09-25
2001-0014-UGA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,UGA,Uganda,Sub-Saharan Africa,Africa,Karuma (Gulu region),,,No,No,No,,,,,,,2001,1,14,2001,1,14,11,5,,,5,,,,,,,58.1114743743821,,2003-07-01,2023-09-25
2001-0032-KEN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,KEN,Kenya,Sub-Saharan Africa,Africa,Nairobi district (Nairobi province),Heavy rain,,No,No,No,,,Km2,,,,2001,1,13,2001,1,14,4,,,,,,,,,38,65,58.1114743743821,"[{""adm2_code"":51360,""adm2_name"":""Nairobi""}]",2005-09-16,2023-09-25
2001-0047-TZA,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Mtanga village (Kigoma Rural district, Kigoma province)",,,No,No,No,,,,,,,2001,1,22,2001,1,22,13,,,150,150,,,,,,,58.1114743743821,"[{""adm2_code"":115055,""adm2_name"":""Kigoma Rural""}]",2003-07-01,2023-09-25
2001-0062-KEN,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Typhoid fever,KEN,Kenya,Sub-Saharan Africa,Africa,Embu town,,,No,No,No,,,,,,,2001,2,,2001,3,,9,,102,,102,,,,,,,58.1114743743821,,2003-11-25,2023-09-25
2001-0094-ETH,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,Wollo,,,No,No,No,,,,,,,2001,3,10,2001,3,10,22,30,,,30,,,,,,,58.1114743743821,,2003-07-01,2023-09-25
2001-0109-TZA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Jangwani area (Ilala district, Dar-es-salaam province), Mtoni area (Temeke district, Dar-es-salaam province), Kigogo, Kinondoni, Manzese, Ubungo area (Kinondoni district, Dar-es-salaam province) Dar es Salaam city, area.",Brief torrential rain,,No,No,No,,108,Km2,,,,2001,2,27,2001,2,27,5,,,200,200,,,,,,,58.1114743743821,"[{""adm2_code"":48388,""adm2_name"":""Ilala""},{""adm2_code"":48389,""adm2_name"":""Kinondoni""},{""adm2_code"":48390,""adm2_name"":""Temeke""}]",2005-09-16,2023-09-25
2001-0111-SDN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,SDN,Sudan,Northern Africa,Africa,Between Kosti and Khartoum,,,No,No,No,,,,,,,2001,3,17,2001,3,17,21,50,,,50,,,,,,,58.1114743743821,,2003-07-01,2023-09-25
